   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     31.00      0.00     0.315     119.952240      -1.926360      26.003710      5.00      5.00    25.122    24.244    45.824   -185.00    -15.00
    2     31.00      0.00     0.545     119.950684      -1.881170      26.003710      5.00      5.00    10.954    32.816    28.924   -180.00    -15.00
    3     30.00      0.00     0.786     119.949112      -1.835980      26.003710      5.00      5.00     3.159    41.475    17.160   -175.00    -15.00
    4     29.00      0.00     0.875     119.947540      -1.790790      26.003710      5.00      5.00   359.221    52.581    10.399   -170.00    -15.00
    5     29.00      0.00     0.852     119.945969      -1.745600      26.003710      5.00      5.00   359.156    69.089    11.134   -165.00    -15.00
    6     27.00      0.00     0.783     119.944397      -1.700410      26.003710      5.00      5.00   357.147    84.244     7.790   -160.00    -15.00
    7     27.00      0.00     0.690     119.942841      -1.655220      26.003710      5.00      5.00   177.839    89.927    -3.456   -155.00    -15.00
    8     25.00      0.00     0.586     119.941269      -1.610030      26.003710      5.00      5.00   178.677    78.200    -0.940   -150.00    -15.00
    9     25.00      0.00     0.446     119.939697      -1.564840      26.003710      5.00      5.00   177.294    73.995    -5.964   -145.00    -15.00
   10     24.00      0.00     0.364     119.938133      -1.519650      26.003710      5.00      5.00   171.948    66.968     4.415   -140.00    -15.00
   11     23.00      0.00     0.340     119.936562      -1.474460      26.003710      5.00      5.00   162.902    83.466    20.017   -135.00    -15.00
   12     22.00      0.00     0.398     119.934998      -1.429270      26.003710      5.00      5.00   157.908    88.865    18.939   -130.00    -15.00
   13     22.00      0.00     0.465     119.933434      -1.384080      26.003710      5.00      5.00   157.217    87.339    18.191   -125.00    -15.00
   14     20.00      0.00     0.550     119.931862      -1.338890      26.003710      5.00      5.00   336.235    89.661    -5.553   -120.00    -15.00
   15     20.00      0.00     0.612     119.930290      -1.293690      26.003710      5.00      5.00   337.491    85.876    -3.004   -115.00    -15.00
   16     19.00      0.00     0.702     119.928726      -1.248500      26.003710      5.00      5.00   340.094    85.743    -8.768   -110.00    -15.00
   17     18.00      0.00     0.717     119.927162      -1.203310      26.003710      5.00      5.00   167.312    85.215    21.428   -105.00    -15.00
   18     17.00      0.00     0.790     119.925591      -1.158120      26.003710      5.00      5.00   184.624    72.767    48.872   -100.00    -15.00
   19     16.00      0.00     0.813     119.924026      -1.112930      26.003710      5.00      5.00   186.025    77.302    52.316    -95.00    -15.00
   20     16.00      0.00     0.840     119.922462      -1.067740      26.003710      5.00      5.00   186.106    81.905    53.353    -90.00    -15.00
   21     15.00      0.00     0.778     119.920891      -1.022550      26.003710      5.00      5.00   183.911    85.569    47.534    -85.00    -15.00
   22     14.00      0.00     0.741     119.919319      -0.977360      26.003710      5.00      5.00   347.465    73.287   -29.966    -80.00    -15.00
   23     13.00      0.00     0.856     119.917763      -0.932170      26.003710      5.00      5.00   338.267    64.437   -24.532    -75.00    -15.00
   24     12.00      0.00     0.899     119.916191      -0.886980      26.003710      5.00      5.00   335.555    70.113   -24.963    -70.00    -15.00
   25     12.00      0.00     0.938     119.914619      -0.841790      26.003710      5.00      5.00   333.141    74.138   -21.395    -65.00    -15.00
   26     12.00      0.00     1.018     119.913063      -0.796600      26.003710      5.00      5.00   333.210    77.419   -14.656    -60.00    -15.00
   27     10.00      0.00     1.131     119.911491      -0.751410      26.003710      5.00      5.00   335.825    88.825    -4.828    -55.00    -15.00
   28      9.00      0.00     1.180     119.909920      -0.706210      26.003710      5.00      5.00   158.715    85.581    -6.729    -50.00    -15.00
   29      8.00      0.00     1.223     119.908363      -0.661020      26.003710      5.00      5.00   161.577    87.473   -16.320    -45.00    -15.00
   30      7.00      0.00     1.224     119.906792      -0.615830      26.003710      5.00      5.00   346.705    84.754    23.692    -40.00    -15.00
   31      7.00      0.00     1.174     119.905220      -0.570640      26.003710      5.00      5.00   349.627    80.401    22.887    -35.00    -15.00
   32      6.00      0.00     1.083     119.903664      -0.525450      26.003710      5.00      5.00   353.939    73.951    19.524    -30.00    -15.00
   33      5.00      0.00     1.051     119.902092      -0.480260      26.003710      5.00      5.00     1.843    66.678    17.090    -25.00    -15.00
   34      4.00      0.00     1.079     119.900528      -0.435070      26.003710      5.00      5.00     5.868    61.993    13.983    -20.00    -15.00
   35      3.00      0.00     1.081     119.898956      -0.389880      26.003710      5.00      5.00     7.467    67.651    14.925    -15.00    -15.00
   36      3.00      0.00     1.073     119.897392      -0.344690      26.003710      5.00      5.00     5.872    71.872    10.333    -10.00    -15.00
   37      3.00      0.00     1.040     119.895828      -0.299500      26.003710      5.00      5.00     5.618    76.619     9.590     -5.00    -15.00
   38      3.00      0.00     1.008     119.894257      -0.254300      26.003710      5.00      5.00     7.061    83.221    10.364      0.00    -15.00
   39      3.00      0.00     0.985     119.892693      -0.209110      26.003710      5.00      5.00    10.732    86.553     9.539      5.00    -15.00
   40      3.00      0.00     0.946     119.891121      -0.163920      26.003710      5.00      5.00    14.550    86.067     8.823     10.00    -15.00
   41      3.00      0.00     0.860     119.889549      -0.118730      26.003710      5.00      5.00    58.741    46.474    86.265     15.00    -15.00
   42      4.00      0.00     0.722     119.887978      -0.073540      26.003710      5.00      5.00    53.980    36.109    82.856     20.00    -15.00
   43      5.00      0.00     0.658     119.886414      -0.028350      26.003710      5.00      5.00    62.586    25.057   102.957     25.00    -15.00
   44      6.00      0.00     0.611     119.884850       0.016840      26.003710      5.00      5.00   214.444    72.490    87.731     30.00    -15.00
   45      6.00      0.00     0.589     119.883278       0.062030      26.003710      5.00      5.00   194.219    69.829   100.664     35.00    -15.00
   46      8.00      0.00     0.501     119.881706       0.107230      26.003710      5.00      5.00   169.122    61.074   104.426     40.00    -15.00
   47      9.00      0.00     0.375     119.880142       0.152420      26.003710      5.00      5.00   148.039    59.058   104.857     45.00    -15.00
   48      9.00      0.00     0.219     119.878571       0.197610      26.003710      5.00      5.00   140.046    55.969   113.811     50.00    -15.00
   49     32.00      0.00     0.463     119.936150      -1.926930      21.335800      5.00      5.00    20.015    26.140    50.616   -185.00    -10.00
   50     31.00      0.00     0.839     119.934578      -1.881740      21.335800      5.00      5.00   358.063    54.125     6.851   -180.00    -10.00
   51     30.00      0.00     1.204     119.933006      -1.836550      21.335800      5.00      5.00     0.280    60.687     8.354   -175.00    -10.00
   52     29.00      0.00     1.451     119.931450      -1.791360      21.335800      5.00      5.00     0.690    65.078     9.720   -170.00    -10.00
   53     29.00      0.00     1.526     119.929878      -1.746170      21.335800      5.00      5.00     0.869    72.258    10.000   -165.00    -10.00
   54     28.00      0.00     1.469     119.928307      -1.700980      21.335800      5.00      5.00   359.950    80.065     7.096   -160.00    -10.00
   55     27.00      0.00     1.316     119.926743      -1.655790      21.335800      5.00      5.00     0.231    86.808     5.013   -155.00    -10.00
   56     26.00      0.00     1.090     119.925179      -1.610590      21.335800      5.00      5.00   180.646    89.418    -3.588   -150.00    -10.00
   57     26.00      0.00     0.849     119.923607      -1.565400      21.335800      5.00      5.00   179.428    83.817    -2.233   -145.00    -10.00
   58     24.00      0.00     0.681     119.922043      -1.520210      21.335800      5.00      5.00   172.548    80.328     5.340   -140.00    -10.00
   59     24.00      0.00     0.673     119.920471      -1.475020      21.335800      5.00      5.00   163.372    83.223    15.304   -135.00    -10.00
   60     23.00      0.00     0.796     119.918907      -1.429830      21.335800      5.00      5.00   158.284    87.887    19.123   -130.00    -10.00
   61     22.00      0.00     0.954     119.917343      -1.384640      21.335800      5.00      5.00   155.531    89.880    13.573   -125.00    -10.00
