   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1      1.00      0.00     0.000     119.952240      -1.926360      26.003710      5.00      5.00   180.000    45.000    90.000   -185.00    -15.00      0.50
    2      1.00      0.00     0.000     119.950684      -1.881170      26.003710      5.00      5.00   180.000    45.000    90.000   -180.00    -15.00      0.50
    3      1.00      0.00     0.000     119.949112      -1.835980      26.003710      5.00      5.00   180.000    45.000    90.000   -175.00    -15.00      0.50
    4      1.00      0.00     0.000     119.947540      -1.790790      26.003710      5.00      5.00   180.000    45.000    90.000   -170.00    -15.00      0.50
    5      1.00      0.00     0.000     119.945969      -1.745600      26.003710      5.00      5.00   180.000    45.000    90.000   -165.00    -15.00      0.50
    6     40.00      0.00     0.066     119.944397      -1.700410      26.003710      5.00      5.00   192.667    87.986   -78.482   -160.00    -15.00      0.50
    7     38.00      0.00     0.170     119.942841      -1.655220      26.003710      5.00      5.00   214.863    19.463  -139.532   -155.00    -15.00      0.50
    8     37.00      0.00     0.250     119.941269      -1.610030      26.003710      5.00      5.00   206.701    24.816  -161.007   -150.00    -15.00      0.50
    9     36.00      0.00     0.257     119.939697      -1.564840      26.003710      5.00      5.00   213.818    39.582  -155.312   -145.00    -15.00      0.50
   10     35.00      0.00     0.240     119.938133      -1.519650      26.003710      5.00      5.00   199.769    41.259  -178.884   -140.00    -15.00      0.50
   11     34.00      0.00     0.236     119.936562      -1.474460      26.003710      5.00      5.00   344.730    30.994    15.133   -135.00    -15.00      0.50
   12     32.00      0.00     0.384     119.934998      -1.429270      26.003710      5.00      5.00     2.401    49.842    25.080   -130.00    -15.00      0.50
   13     31.00      0.00     0.507     119.933434      -1.384080      26.003710      5.00      5.00     6.293    62.286    28.318   -125.00    -15.00      0.50
   14     31.00      0.00     0.596     119.931862      -1.338890      26.003710      5.00      5.00     8.984    67.738    32.700   -120.00    -15.00      0.50
   15     29.00      0.00     0.654     119.930290      -1.293690      26.003710      5.00      5.00     6.150    76.057    43.156   -115.00    -15.00      0.50
   16     27.00      0.00     0.756     119.928726      -1.248500      26.003710      5.00      5.00    22.174    68.036    62.756   -110.00    -15.00      0.50
   17     27.00      0.00     0.753     119.927162      -1.203310      26.003710      5.00      5.00    25.531    70.493    75.777   -105.00    -15.00      0.50
   18     25.00      0.00     0.823     119.925591      -1.158120      26.003710      5.00      5.00   163.592    32.458    18.256   -100.00    -15.00      0.50
   19     24.00      0.00     0.932     119.924026      -1.112930      26.003710      5.00      5.00   157.438    49.269     0.720    -95.00    -15.00      0.50
   20     23.00      0.00     0.912     119.922462      -1.067740      26.003710      5.00      5.00   157.980    69.390    -5.214    -90.00    -15.00      0.50
   21     21.00      0.00     0.999     119.920891      -1.022550      26.003710      5.00      5.00   161.031    78.572    -3.722    -85.00    -15.00      0.50
   22     20.00      0.00     0.997     119.919319      -0.977360      26.003710      5.00      5.00   170.535    78.920     5.968    -80.00    -15.00      0.50
   23     19.00      0.00     1.068     119.917763      -0.932170      26.003710      5.00      5.00   355.749    83.143    -8.917    -75.00    -15.00      0.50
   24     18.00      0.00     1.200     119.916191      -0.886980      26.003710      5.00      5.00   354.970    71.663   -11.459    -70.00    -15.00      0.50
   25     16.00      0.00     1.398     119.914619      -0.841790      26.003710      5.00      5.00   354.123    79.411   -29.486    -65.00    -15.00      0.50
   26     17.00      0.00     1.308     119.913063      -0.796600      26.003710      5.00      5.00   357.631    86.409   -33.744    -60.00    -15.00      0.50
   27     14.00      0.00     1.166     119.911491      -0.751410      26.003710      5.00      5.00   355.102    83.250   -22.948    -55.00    -15.00      0.50
   28     13.00      0.00     1.111     119.909920      -0.706210      26.003710      5.00      5.00   351.272    72.202   -15.302    -50.00    -15.00      0.50
   29     11.00      0.00     1.191     119.908363      -0.661020      26.003710      5.00      5.00   342.697    65.941   -10.603    -45.00    -15.00      0.50
   30     10.00      0.00     1.223     119.906792      -0.615830      26.003710      5.00      5.00   341.310    74.424    -7.727    -40.00    -15.00      0.50
   31      9.00      0.00     1.160     119.905220      -0.570640      26.003710      5.00      5.00   343.166    82.682     5.565    -35.00    -15.00      0.50
   32      8.00      0.00     1.253     119.903664      -0.525450      26.003710      5.00      5.00   346.340    87.084    27.355    -30.00    -15.00      0.50
   33      7.00      0.00     1.254     119.902092      -0.480260      26.003710      5.00      5.00   349.809    85.050    30.307    -25.00    -15.00      0.50
   34      6.00      0.00     1.188     119.900528      -0.435070      26.003710      5.00      5.00   356.764    76.484    20.472    -20.00    -15.00      0.50
   35      5.00      0.00     1.261     119.898956      -0.389880      26.003710      5.00      5.00     3.315    66.258    17.288    -15.00    -15.00      0.50
   36      4.00      0.00     1.498     119.897392      -0.344690      26.003710      5.00      5.00     6.995    66.711    21.015    -10.00    -15.00      0.50
