   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.504     119.952240      -1.926360      26.003710      5.00      5.00   358.000    69.000     5.633   -185.00    -15.00    0
    2     0.887     119.950684      -1.881170      26.003710      5.00      5.00   358.000    69.000     1.938   -180.00    -15.00    0
    3     1.333     119.949112      -1.835980      26.003710      5.00      5.00   358.000    69.000    -2.976   -175.00    -15.00    0
    4     1.425     119.947540      -1.790790      26.003710      5.00      5.00   358.000    69.000    -2.683   -170.00    -15.00    0
    5     1.296     119.945969      -1.745600      26.003710      5.00      5.00   358.000    69.000    -6.406   -165.00    -15.00    0
    6     1.162     119.944397      -1.700410      26.003710      5.00      5.00   358.000    69.000    -5.490   -160.00    -15.00    0
    7     0.983     119.942841      -1.655220      26.003710      5.00      5.00   358.000    69.000    -3.776   -155.00    -15.00    0
    8     0.804     119.941269      -1.610030      26.003710      5.00      5.00   358.000    69.000     5.226   -150.00    -15.00    0
    9     0.589     119.939697      -1.564840      26.003710      5.00      5.00   358.000    69.000    -8.078   -145.00    -15.00    0
   10     0.421     119.938133      -1.519650      26.003710      5.00      5.00   358.000    69.000   -17.583   -140.00    -15.00    0
   11     0.271     119.936562      -1.474460      26.003710      5.00      5.00   358.000    69.000  -102.678   -135.00    -15.00    0
   12     0.978     119.934998      -1.429270      26.003710      5.00      5.00   358.000    69.000   172.989   -130.00    -15.00    0
   13     1.943     119.933434      -1.384080      26.003710      5.00      5.00   358.000    69.000   158.567   -125.00    -15.00    0
   14     2.137     119.931862      -1.338890      26.003710      5.00      5.00   358.000    69.000   158.974   -120.00    -15.00    0
   15     2.148     119.930290      -1.293690      26.003710      5.00      5.00   358.000    69.000   157.647   -115.00    -15.00    0
   16     2.146     119.928726      -1.248500      26.003710      5.00      5.00   358.000    69.000   151.414   -110.00    -15.00    0
   17     1.213     119.927162      -1.203310      26.003710      5.00      5.00   358.000    69.000   148.226   -105.00    -15.00    0
   18     0.365     119.925591      -1.158120      26.003710      5.00      5.00   358.000    69.000   135.677   -100.00    -15.00    0
   19     0.125     119.924026      -1.112930      26.003710      5.00      5.00   358.000    69.000   122.025    -95.00    -15.00    0
   20     0.282     119.922462      -1.067740      26.003710      5.00      5.00   358.000    69.000    84.563    -90.00    -15.00    0
   21     0.467     119.920891      -1.022550      26.003710      5.00      5.00   358.000    69.000    87.448    -85.00    -15.00    0
