   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1     119.920059      -1.927490      24.667900     0.282   304.483    85.450    69.649   202.413    20.833   167.113   -185.00     -5.00    0
    2     119.918488      -1.882300      24.667900     0.301   298.828    89.234    55.181   207.726    34.827   178.659   -180.00     -5.00    0
    3     119.916924      -1.837110      24.667900     0.264   114.072    83.201   -40.225   209.790    50.115  -171.124   -175.00     -5.00    0
    4     119.915352      -1.791920      24.667900     0.365    68.942    76.124   -98.497   280.862    16.228   -59.115   -170.00     -5.00    1
    5     119.913788      -1.746730      24.667900     0.585    56.048    82.527  -109.238   305.608    20.587   -21.708   -165.00     -5.00    1
    6     119.912216      -1.701540      24.667900     0.751    58.457    82.669  -108.569   307.658    19.916   -21.999   -160.00     -5.00    1
    7     119.910652      -1.656350      24.667900     0.763    65.453    82.559  -105.652   310.645    17.290   -25.832   -155.00     -5.00    1
    8     119.909081      -1.611160      24.667900     0.627    72.986    83.982  -110.087   326.989    20.934   -17.064   -150.00     -5.00    0
    9     119.907516      -1.565970      24.667900     0.452   357.686    38.895    14.728   256.123    80.814   127.963   -145.00     -5.00    0
   10     119.905952      -1.520780      24.667900     0.519     6.344    63.843    37.762   257.490    56.656   148.149   -140.00     -5.00    0
   11     119.904381      -1.475590      24.667900     0.662    11.253    68.362    42.487   262.591    51.110   151.722   -135.00     -5.00    0
   12     119.902809      -1.430400      24.667900     0.693   264.923    53.853   154.075    10.922    69.327    39.083   -130.00     -5.00    0
   13     119.901253      -1.385210      24.667900     0.606    15.957    70.654    44.793   267.752    48.336   153.676   -125.00     -5.00    0
   14     119.899681      -1.340020      24.667900     0.639    34.398    69.239    69.817   260.439    28.639   132.307   -120.00     -5.00    0
   15     119.898109      -1.294830      24.667900     0.568    32.024    71.958    73.118   256.442    24.515   131.719   -115.00     -5.00    0
   16     119.896553      -1.249630      24.667900     0.453   227.274    26.094   104.065    31.686    64.745    83.212   -110.00     -5.00    0
   17     119.894981      -1.204440      24.667900     0.583   159.482    61.766     5.089    67.069    85.518   151.671   -105.00     -5.00    0
   18     119.893410      -1.159250      24.667900     0.696   158.429    81.776   -13.421   250.384    76.719  -171.548   -100.00     -5.00    0
   19     119.891853      -1.114060      24.667900     0.738   352.179    75.220    24.937   255.415    65.942   163.777    -95.00     -5.00    0
   20     119.890282      -1.068870      24.667900     0.736   356.843    80.350     8.704   265.373    81.420   170.240    -90.00     -5.00    0
   21     119.888710      -1.023680      24.667900     0.820   180.207    88.631    18.633    89.745    71.373   178.555    -85.00     -5.00    0
   22     119.887154      -0.978490      24.667900     0.943    91.708    59.118   171.076   186.316    82.349    31.190    -80.00     -5.00    0
   23     119.885582      -0.933300      24.667900     1.222   182.286    89.181    41.702    91.556    48.304   178.902    -75.00     -5.00    0
   24     119.884010      -0.888110      24.667900     1.320   186.226    85.427    49.246    90.940    40.965   173.015    -70.00     -5.00    0
   25     119.882446      -0.842920      24.667900     1.149   356.518    84.038   -33.384    90.433    56.820  -172.871    -65.00     -5.00    0
   26     119.880882      -0.797730      24.667900     1.027   356.376    78.736   -21.369    90.747    69.062  -167.928    -60.00     -5.00    0
   27     119.879311      -0.752540      24.667900     1.023   350.164    64.030   -13.315    86.081    78.051  -153.410    -55.00     -5.00    0
   28     119.877747      -0.707340      24.667900     1.048   340.727    52.202    -9.411    76.528    82.576  -141.826    -50.00     -5.00    0
   29     119.876183      -0.662150      24.667900     1.054   339.170    60.688    -5.000    71.622    85.641  -150.594    -45.00     -5.00    0
   30     119.874619      -0.616960      24.667900     1.086   339.622    65.521    -3.889    71.235    86.461  -155.472    -40.00     -5.00    0
   31     119.873047      -0.571770      24.667900     0.983   339.993    89.786    18.297   249.922    71.703   179.774    -35.00     -5.00    0
   32     119.871483      -0.526580      24.667900     1.024   351.172    86.145    30.351   258.918    59.725   175.535    -30.00     -5.00    0
   33     119.869919      -0.481390      24.667900     1.168     1.995    75.773    33.494   262.758    57.661   163.090    -25.00     -5.00    0
   34     119.868347      -0.436200      24.667900     1.302   267.807    65.296   162.386     5.366    74.043    25.765    -20.00     -5.00    0
   35     119.866791      -0.391010      24.667900     1.567   270.133    69.702   160.875     6.993    72.104    21.380    -15.00     -5.00    0
   36     119.865219      -0.345820      24.667900     1.885   268.489    68.433   160.402     5.946    71.824    22.761    -10.00     -5.00    0
   37     119.863647      -0.300630      24.667900     2.159     2.086    65.465    14.353   266.021    76.967   154.771     -5.00     -5.00    0
   38     119.862091      -0.255430      24.667900     2.259     1.861    59.045     9.011   267.198    82.281   148.730      0.00     -5.00    0
   39     119.860519      -0.210240      24.667900     1.974     1.610    62.295     6.680   268.494    84.089   152.134      5.00     -5.00    0
   40     119.858948      -0.165050      24.667900     1.513   273.168    84.743   154.444     5.677    64.559     5.823     10.00     -5.00    0
   41     119.857384      -0.119860      24.667900     1.046    94.270    73.695  -171.838     1.964    82.169   -16.463     15.00     -5.00    0
   42     119.855812      -0.074670      24.667900     0.753   195.882    70.530    65.401    69.825    30.991   139.658     20.00     -5.00    0
   43     119.854240      -0.029480      24.667900     0.556   186.016    67.485    83.118    23.510    23.491   106.122     25.00     -5.00    0
   44     119.852669       0.015710      24.667900     0.673   183.699    65.027    86.327    12.345    25.225    97.832     30.00     -5.00    0
   45     119.851097       0.060900      24.667900     0.612   164.573    54.145    70.964    15.073    39.987   114.291     35.00     -5.00    0
   46     119.849533       0.106090      24.667900     0.543   187.908    38.743    96.979   358.988    51.597    84.431     40.00     -5.00    0
   47     119.847961       0.151280      24.667900     0.575   338.792    65.734    59.885   213.473    37.946   138.061     45.00     -5.00    0
   48     119.846390       0.196470      24.667900     0.377   318.104    78.794    24.916   222.946    65.591   167.678     50.00     -5.00    0
   49     119.903961      -1.928060      20.000000     0.252   308.358    79.644    60.713   200.587    30.911   159.516   -185.00      0.00    0
   50     119.902397      -1.882870      20.000000     0.313   297.044    88.078    44.859   205.133    45.173   177.290   -180.00      0.00    0
   51     119.900833      -1.837680      20.000000     0.381   303.159    75.998    13.290   209.888    77.112   165.629   -175.00      0.00    0
   52     119.899261      -1.792490      20.000000     0.507   301.254    46.344    -8.677    37.268    83.733  -136.015   -170.00      0.00    0
   53     119.897690      -1.747300      20.000000     0.778    38.986    85.139  -123.779   301.766    34.086    -8.697   -165.00      0.00    0
   54     119.896133      -1.702110      20.000000     0.994    47.250    83.847  -118.565   306.112    29.165   -12.706   -160.00      0.00    1
   55     119.894562      -1.656920      20.000000     1.011    56.650    85.237  -117.579   317.618    27.955   -10.202   -155.00      0.00    0
   56     119.892990      -1.611730      20.000000     0.954   331.683    34.603    -8.424    68.633    85.228  -124.313   -150.00      0.00    0
   57     119.891418      -1.566530      20.000000     0.801   349.024    52.481     4.350   256.371    86.551   142.401   -145.00      0.00    0
   58     119.889862      -1.521340      20.000000     0.909     1.749    70.173    27.605   261.692    64.157   157.860   -140.00      0.00    0
   59     119.888290      -1.476150      20.000000     1.154   266.447    55.334   154.083    11.898    68.932    37.556   -135.00      0.00    0
   60     119.886719      -1.430960      20.000000     1.254   269.809    53.659   153.347    16.373    68.818    39.459   -130.00      0.00    0
   61     119.885162      -1.385770      20.000000     1.078    23.172    64.772    46.147   269.249    49.282   145.782   -125.00      0.00    0
   62     119.883591      -1.340580      20.000000     0.903    41.443    60.087    75.878   248.215    32.798   112.981   -120.00      0.00    0
   63     119.882019      -1.295390      20.000000     0.841   247.856    29.107   125.775    28.343    66.755    71.971   -115.00      0.00    0
   64     119.880463      -1.250200      20.000000     0.846   163.941    80.298   -20.523   257.550    69.783  -169.655   -110.00      0.00    0
   65     119.878891      -1.205010      20.000000     1.068   155.748    71.005    -5.131   247.422    85.149  -160.934   -105.00      0.00    0
   66     119.877319      -1.159820      20.000000     1.314   156.503    81.152   -12.836   248.510    77.320  -170.929   -100.00      0.00    0
