   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     0.183     119.935257      -1.532030      26.003710     10.00      5.00     8.622    80.163    44.902   -150.00    -15.00
    2     0.470     119.932129      -1.441650      26.003710     10.00      5.00     7.926    88.326    49.995   -140.00    -15.00
    3     0.679     119.928993      -1.351270      26.003710     10.00      5.00     3.994    81.466    26.286   -130.00    -15.00
    4     0.849     119.925858      -1.260890      26.003710     10.00      5.00     1.685    89.861    23.979   -120.00    -15.00
    5     0.847     119.922722      -1.170500      26.003710     10.00      5.00   180.421    72.046     8.168   -110.00    -15.00
    6     0.803     119.919594      -1.080120      26.003710     10.00      5.00   354.778    86.835    -7.956   -100.00    -15.00
    7     0.857     119.916458      -0.989740      26.003710     10.00      5.00   352.744    73.452   -13.801    -90.00    -15.00
    8     1.029     119.913322      -0.899360      26.003710     10.00      5.00   345.964    76.649   -31.279    -80.00    -15.00
    9     1.116     119.910187      -0.808980      26.003710     10.00      5.00   342.562    67.688   -23.894    -70.00    -15.00
   10     0.989     119.907059      -0.718600      26.003710     10.00      5.00   346.781    65.226   -13.717    -60.00    -15.00
   11     0.931     119.903923      -0.628210      26.003710     10.00      5.00   341.328    74.542    -0.843    -50.00    -15.00
   12     0.927     119.900787      -0.537830      26.003710     10.00      5.00   161.361    82.533   -21.369    -40.00    -15.00
   13     0.913     119.897659      -0.447450      26.003710     10.00      5.00   352.596    76.632    16.443    -30.00    -15.00
   14     0.955     119.894531      -0.357070      26.003710     10.00      5.00     2.788    62.469    -1.673    -20.00    -15.00
   15     1.013     119.891388      -0.266690      26.003710     10.00      5.00     4.861    60.606     2.283    -10.00    -15.00
   16     0.952     119.888260      -0.176300      26.003710     10.00      5.00     4.908    60.146     0.119      0.00    -15.00
   17     0.869     119.885117      -0.085920      26.003710     10.00      5.00     9.378    55.992     9.717     10.00    -15.00
   18     0.667     119.881981       0.004460      26.003710     10.00      5.00    14.676    36.167    27.233     20.00    -15.00
   19     0.338     119.878853       0.094840      26.003710     10.00      5.00    18.523    32.014    82.841     30.00    -15.00
   20     0.355     119.875710       0.185230      26.003710     10.00      5.00    30.007    54.759    96.765     40.00    -15.00
   21     0.502     119.872566       0.275610      26.003710     10.00      5.00   139.270    78.989   -37.876     50.00    -15.00
   22     0.285     119.919167      -1.532600      21.335800     10.00      5.00     4.731    81.469    41.309   -150.00    -10.00
   23     0.683     119.916039      -1.442210      21.335800     10.00      5.00   183.440    87.295   -45.385   -140.00    -10.00
   24     1.099     119.912903      -1.351830      21.335800     10.00      5.00     2.056    87.005    24.925   -130.00    -10.00
   25     1.329     119.909767      -1.261450      21.335800     10.00      5.00   177.803    85.413   -11.542   -120.00    -10.00
   26     1.466     119.906631      -1.171070      21.335800     10.00      5.00   175.681    88.092    -3.055   -110.00    -10.00
   27     1.502     119.903503      -1.080690      21.335800     10.00      5.00   350.116    83.877    -5.546   -100.00    -10.00
   28     1.561     119.900368      -0.990310      21.335800     10.00      5.00   350.971    82.123   -23.558    -90.00    -10.00
   29     1.791     119.897232      -0.899920      21.335800     10.00      5.00   349.884    80.743   -29.931    -80.00    -10.00
   30     2.071     119.894096      -0.809540      21.335800     10.00      5.00   342.799    65.748   -22.271    -70.00    -10.00
   31     1.907     119.890968      -0.719160      21.335800     10.00      5.00   345.497    66.083   -14.965    -60.00    -10.00
   32     1.767     119.887840      -0.628780      21.335800     10.00      5.00   341.056    84.982     8.027    -50.00    -10.00
   33     1.755     119.884697      -0.538400      21.335800     10.00      5.00   161.134    84.840   -19.218    -40.00    -10.00
   34     1.651     119.881569      -0.448020      21.335800     10.00      5.00   353.489    73.035    12.226    -30.00    -10.00
   35     1.794     119.878441      -0.357630      21.335800     10.00      5.00     1.347    59.960    -2.000    -20.00    -10.00
   36     1.930     119.875313      -0.267250      21.335800     10.00      5.00     1.865    60.980    -1.911    -10.00    -10.00
   37     1.936     119.872169      -0.176870      21.335800     10.00      5.00     2.044    57.953    -3.526      0.00    -10.00
   38     1.720     119.869041      -0.086490      21.335800     10.00      5.00     6.303    55.349     3.779     10.00    -10.00
   39     1.168     119.865898       0.003900      21.335800     10.00      5.00     5.963    46.368    16.203     20.00    -10.00
   40     0.565     119.862762       0.094280      21.335800     10.00      5.00   347.562    40.194    31.806     30.00    -10.00
   41     0.555     119.859619       0.184660      21.335800     10.00      5.00     9.078    47.027    71.896     40.00    -10.00
   42     0.679     119.856483       0.275040      21.335800     10.00      5.00   143.928    88.427   -41.857     50.00    -10.00
   43     0.254     119.903084      -1.533160      16.667900     10.00      5.00   176.143    77.511   -20.817   -150.00     -5.00
   44     0.652     119.899948      -1.442780      16.667900     10.00      5.00   173.048    71.193   -22.107   -140.00     -5.00
   45     1.210     119.896812      -1.352400      16.667900     10.00      5.00   270.729    75.269  -177.723   -130.00     -5.00
   46     1.575     119.893677      -1.262020      16.667900     10.00      5.00   176.882    83.648    -1.544   -120.00     -5.00
   47     1.895     119.890549      -1.171630      16.667900     10.00      5.00   172.575    88.931    -5.206   -110.00     -5.00
   48     1.987     119.887413      -1.081250      16.667900     10.00      5.00   346.922    86.795    -6.602   -100.00     -5.00
   49     2.066     119.884277      -0.990870      16.667900     10.00      5.00   347.280    79.813   -22.940    -90.00     -5.00
   50     2.318     119.881149      -0.900490      16.667900     10.00      5.00   349.403    78.615   -25.493    -80.00     -5.00
   51     2.823     119.878014      -0.810110      16.667900     10.00      5.00   343.472    68.708   -23.991    -70.00     -5.00
   52     2.668     119.874878      -0.719730      16.667900     10.00      5.00   343.988    67.044   -16.199    -60.00     -5.00
   53     2.454     119.871750      -0.629340      16.667900     10.00      5.00   160.025    88.483   -13.827    -50.00     -5.00
   54     2.332     119.868622      -0.538960      16.667900     10.00      5.00   341.742    89.543    11.850    -40.00     -5.00
   55     2.222     119.865479      -0.448580      16.667900     10.00      5.00   352.503    68.093     7.093    -30.00     -5.00
   56     2.362     119.862350      -0.358200      16.667900     10.00      5.00   359.155    61.217    -3.570    -20.00     -5.00
   57     2.560     119.859222      -0.267820      16.667900     10.00      5.00   359.779    62.957    -5.265    -10.00     -5.00
   58     2.658     119.856087      -0.177430      16.667900     10.00      5.00   359.704    58.237    -7.302      0.00     -5.00
   59     2.302     119.852951      -0.087050      16.667900     10.00      5.00     2.486    56.395    -2.563     10.00     -5.00
   60     1.568     119.849808       0.003330      16.667900     10.00      5.00     1.665    48.197    10.262     20.00     -5.00
   61     0.758     119.846672       0.093710      16.667900     10.00      5.00   339.485    56.892    14.287     30.00     -5.00
   62     0.728     119.843529       0.184090      16.667900     10.00      5.00   356.972    49.958    49.718     40.00     -5.00
   63     0.657     119.840393       0.274470      16.667900     10.00      5.00   356.542    67.158    82.329     50.00     -5.00
   64     0.220     119.886993      -1.533730      12.000000     10.00      5.00   281.808    75.174  -168.546   -150.00      0.00
   65     0.542     119.883858      -1.443340      12.000000     10.00      5.00   179.495    75.009     0.494   -140.00      0.00
   66     1.171     119.880722      -1.352960      12.000000     10.00      5.00   179.842    82.658     2.571   -130.00      0.00
   67     1.721     119.877586      -1.262580      12.000000     10.00      5.00   175.655    81.222     7.675   -120.00      0.00
   68     2.102     119.874458      -1.172200      12.000000     10.00      5.00   170.203    89.421    -2.609   -110.00      0.00
   69     2.298     119.871323      -1.081820      12.000000     10.00      5.00   344.049    88.777    -6.319   -100.00      0.00
   70     2.386     119.868187      -0.991440      12.000000     10.00      5.00   343.891    77.376   -18.853    -90.00      0.00
   71     2.728     119.865059      -0.901050      12.000000     10.00      5.00   346.949    72.964   -20.957    -80.00      0.00
   72     3.366     119.861923      -0.810670      12.000000     10.00      5.00   342.533    68.601   -24.857    -70.00      0.00
   73     3.304     119.858788      -0.720290      12.000000     10.00      5.00   342.334    67.166   -17.595    -60.00      0.00
   74     3.004     119.855659      -0.629910      12.000000     10.00      5.00   160.244    88.247   -11.328    -50.00      0.00
   75     2.739     119.852531      -0.539530      12.000000     10.00      5.00   342.248    81.780     4.014    -40.00      0.00
   76     2.579     119.849403      -0.449150      12.000000     10.00      5.00   351.193    66.224     2.737    -30.00      0.00
   77     2.705     119.846260      -0.358760      12.000000     10.00      5.00   357.391    62.074    -4.033    -20.00      0.00
   78     2.944     119.843132      -0.268380      12.000000     10.00      5.00   358.333    64.411    -7.642    -10.00      0.00
   79     3.100     119.839996      -0.178000      12.000000     10.00      5.00   357.644    60.499   -10.378      0.00      0.00
   80     2.680     119.836868      -0.087620      12.000000     10.00      5.00   358.544    57.740    -7.822     10.00      0.00
   81     1.767     119.833740       0.002760      12.000000     10.00      5.00   357.552    51.880     3.632     20.00      0.00
   82     1.019     119.830597       0.093150      12.000000     10.00      5.00   341.077    56.930     8.902     30.00      0.00
   83     0.849     119.827469       0.183530      12.000000     10.00      5.00   348.524    55.959    37.447     40.00      0.00
   84     0.664     119.824341       0.273910      12.000000     10.00      5.00   359.190    63.315    81.301     50.00      0.00
   85     0.184     119.870903      -1.534290       7.332100     10.00      5.00    98.190    59.478   142.244   -150.00      5.00
   86     0.564     119.867767      -1.443910       7.332100     10.00      5.00    89.993    59.327   158.952   -140.00      5.00
   87     1.190     119.864632      -1.353530       7.332100     10.00      5.00    88.232    67.689   164.854   -130.00      5.00
   88     1.793     119.861504      -1.263150       7.332100     10.00      5.00   175.120    81.917    14.449   -120.00      5.00
   89     2.219     119.858368      -1.172760       7.332100     10.00      5.00   348.058    88.514    -4.519   -110.00      5.00
   90     2.462     119.855232      -1.082380       7.332100     10.00      5.00   342.502    88.869    -5.342   -100.00      5.00
   91     2.540     119.852097      -0.992000       7.332100     10.00      5.00   342.355    77.837   -15.734    -90.00      5.00
   92     3.002     119.848969      -0.901620       7.332100     10.00      5.00   345.320    71.686   -20.819    -80.00      5.00
   93     3.586     119.845840      -0.811240       7.332100     10.00      5.00   342.112    67.886   -23.624    -70.00      5.00
   94     3.644     119.842697      -0.720860       7.332100     10.00      5.00   341.954    68.742   -16.304    -60.00      5.00
   95     3.296     119.839607      -0.630470       7.332100     10.00      5.00   341.179    87.484     6.346    -50.00      5.00
   96     2.984     119.836472      -0.540090       7.332100     10.00      5.00   341.824    74.676    -2.781    -40.00      5.00
   97     2.732     119.833328      -0.449710       7.332100     10.00      5.00   349.390    64.917    -3.109    -30.00      5.00
   98     2.896     119.830193      -0.359330       7.332100     10.00      5.00   355.923    63.311    -5.310    -20.00      5.00
   99     3.126     119.827049      -0.268950       7.332100     10.00      5.00   357.858    65.673    -8.105    -10.00      5.00
  100     3.273     119.823914      -0.178570       7.332100     10.00      5.00   356.780    62.951   -11.292      0.00      5.00
  101     2.840     119.820778      -0.088180       7.332100     10.00      5.00   355.451    60.102   -11.862     10.00      5.00
  102     1.849     119.817650       0.002200       7.332100     10.00      5.00   354.558    56.126    -0.772     20.00      5.00
  103     1.270     119.814522       0.092580       7.332100     10.00      5.00   343.459    48.568     5.347     30.00      5.00
  104     0.914     119.811394       0.182960       7.332100     10.00      5.00   343.474    62.621    33.275     40.00      5.00
  105     0.587     119.808250       0.273340       7.332100     10.00      5.00   357.195    59.083    70.070     50.00      5.00
  106     0.204     119.854813      -1.534860       2.664200     10.00      5.00    98.072    41.697   138.656   -150.00     10.00
  107     0.638     119.851669      -1.444470       2.664200     10.00      5.00    89.986    42.609   152.159   -140.00     10.00
  108     1.227     119.848541      -1.354090       2.664200     10.00      5.00    86.712    57.515   161.484   -130.00     10.00
  109     1.822     119.845413      -1.263710       2.664200     10.00      5.00   174.987    81.033    18.660   -120.00     10.00
  110     2.266     119.842278      -1.173330       2.664200     10.00      5.00   347.206    89.094    -7.923   -110.00     10.00
  111     2.519     119.839211      -1.082950       2.664200     10.00      5.00   341.794    88.433    -5.692   -100.00     10.00
  112     2.595     119.836067      -0.992570       2.664200     10.00      5.00   342.069    78.580   -13.547    -90.00     10.00
  113     3.095     119.832932      -0.902190       2.664200     10.00      5.00   344.939    71.704   -20.601    -80.00     10.00
  114     3.684     119.829788      -0.811800       2.664200     10.00      5.00   342.282    67.950   -22.610    -70.00     10.00
  115     3.789     119.826660      -0.721420       2.664200     10.00      5.00   341.686    69.738   -16.059    -60.00     10.00
  116     3.420     119.823517      -0.631040       2.664200     10.00      5.00   341.856    84.766     2.890    -50.00     10.00
  117     3.074     119.820381      -0.540660       2.664200     10.00      5.00   341.784    72.494    -5.019    -40.00     10.00
  118     2.819     119.817238      -0.450280       2.664200     10.00      5.00   348.257    64.621    -5.789    -30.00     10.00
  119     2.977     119.814102      -0.359900       2.664200     10.00      5.00   355.026    64.017    -6.899    -20.00     10.00
  120     3.237     119.810959      -0.269510       2.664200     10.00      5.00   357.665    65.878    -9.066    -10.00     10.00
  121     3.298     119.807831      -0.179130       2.664200     10.00      5.00   356.934    64.001   -11.523      0.00     10.00
  122     2.819     119.804688      -0.088750       2.664200     10.00      5.00   355.490    62.349   -11.798     10.00     10.00
  123     1.919     119.801559       0.001630       2.664200     10.00      5.00   353.213    57.537    -3.584     20.00     10.00
  124     1.360     119.798431       0.092020       2.664200     10.00      5.00   344.627    47.527     3.910     30.00     10.00
