   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.193     119.946243      -1.848360      26.003710      5.00      5.00    60.359    60.896    84.457   -185.00    -15.00    1
    2     0.301     119.944672      -1.803170      26.003710      5.00      5.00    55.527    61.438    82.710   -180.00    -15.00    1
    3     0.369     119.943100      -1.757980      26.003710      5.00      5.00    52.740    55.949    77.595   -175.00    -15.00    1
    4     0.413     119.941544      -1.712790      26.003710      5.00      5.00    68.044    46.621    96.192   -170.00    -15.00    1
    5     0.433     119.939972      -1.667600      26.003710      5.00      5.00    88.840    50.396   125.634   -165.00    -15.00    1
    6     0.433     119.938400      -1.622410      26.003710      5.00      5.00   202.591    72.559    23.383   -160.00    -15.00    0
    7     0.414     119.936829      -1.577220      26.003710      5.00      5.00   196.914    86.723     7.580   -155.00    -15.00    0
    8     0.388     119.935257      -1.532030      26.003710      5.00      5.00    15.268    83.666     8.162   -150.00    -15.00    0
    9     0.390     119.933701      -1.486840      26.003710      5.00      5.00    13.734    76.832    24.122   -145.00    -15.00    0
   10     0.397     119.932129      -1.441650      26.003710      5.00      5.00     5.249    82.722    26.524   -140.00    -15.00    0
   11     0.469     119.930557      -1.396460      26.003710      5.00      5.00     5.175    81.332    34.075   -135.00    -15.00    0
   12     0.541     119.928993      -1.351270      26.003710      5.00      5.00     7.717    75.621    37.966   -130.00    -15.00    0
   13     0.602     119.927429      -1.306080      26.003710      5.00      5.00     7.926    73.849    40.249   -125.00    -15.00    0
   14     0.675     119.925858      -1.260890      26.003710      5.00      5.00     8.888    70.241    40.569   -120.00    -15.00    0
   15     0.709     119.924294      -1.215700      26.003710      5.00      5.00     3.557    74.480    35.230   -115.00    -15.00    0
   16     0.711     119.922722      -1.170500      26.003710      5.00      5.00     1.073    71.527    24.178   -110.00    -15.00    0
   17     0.699     119.921158      -1.125310      26.003710      5.00      5.00     1.759    68.638    19.094   -105.00    -15.00    0
   18     0.744     119.919594      -1.080120      26.003710      5.00      5.00   358.111    68.987     7.948   -100.00    -15.00    0
   19     0.806     119.918022      -1.034930      26.003710      5.00      5.00   354.583    77.537    -8.178    -95.00    -15.00    0
   20     0.859     119.916458      -0.989740      26.003710      5.00      5.00   355.292    80.740   -14.008    -90.00    -15.00    0
   21     0.906     119.914886      -0.944550      26.003710      5.00      5.00   357.506    83.514   -24.206    -85.00    -15.00    0
   22     0.958     119.913322      -0.899360      26.003710      5.00      5.00   359.553    88.851   -33.660    -80.00    -15.00    0
   23     0.976     119.911758      -0.854170      26.003710      5.00      5.00   355.541    84.413   -33.194    -75.00    -15.00    0
   24     0.947     119.910187      -0.808980      26.003710      5.00      5.00   350.676    79.830   -29.381    -70.00    -15.00    0
   25     0.912     119.908623      -0.763790      26.003710      5.00      5.00   345.934    71.849   -22.746    -65.00    -15.00    0
   26     0.843     119.907059      -0.718600      26.003710      5.00      5.00   343.709    66.630   -16.103    -60.00    -15.00    0
   27     0.820     119.905487      -0.673410      26.003710      5.00      5.00   344.397    69.237    -7.478    -55.00    -15.00    0
   28     0.777     119.903923      -0.628210      26.003710      5.00      5.00   346.436    78.188     4.473    -50.00    -15.00    0
   29     0.813     119.902359      -0.583020      26.003710      5.00      5.00   347.662    79.809    19.147    -45.00    -15.00    0
   30     0.852     119.900787      -0.537830      26.003710      5.00      5.00   348.792    74.527    18.876    -40.00    -15.00    0
   31     0.923     119.899223      -0.492640      26.003710      5.00      5.00   350.158    64.020    10.541    -35.00    -15.00    0
   32     0.897     119.897659      -0.447450      26.003710      5.00      5.00   353.652    63.771    10.146    -30.00    -15.00    0
   33     0.925     119.896088      -0.402260      26.003710      5.00      5.00   359.666    61.773    11.570    -25.00    -15.00    0
   34     0.985     119.894531      -0.357070      26.003710      5.00      5.00     1.694    56.449     8.001    -20.00    -15.00    0
   35     1.017     119.892960      -0.311880      26.003710      5.00      5.00     1.971    54.747     5.515    -15.00    -15.00    0
   36     1.072     119.891388      -0.266690      26.003710      5.00      5.00     0.423    51.729     0.947    -10.00    -15.00    0
   37     1.074     119.889832      -0.221500      26.003710      5.00      5.00     1.249    50.370     0.513     -5.00    -15.00    0
   38     1.035     119.888260      -0.176300      26.003710      5.00      5.00     2.989    49.750     1.221      0.00    -15.00    0
   39     0.958     119.886688      -0.131110      26.003710      5.00      5.00     3.394    49.906     0.509      5.00    -15.00    0
   40     0.852     119.885117      -0.085920      26.003710      5.00      5.00     1.342    49.914    -2.859     10.00    -15.00    0
   41     0.700     119.883553      -0.040730      26.003710      5.00      5.00   358.970    49.470    -6.333     15.00    -15.00    0
   42     0.519     119.881981       0.004460      26.003710      5.00      5.00   359.437    56.357     1.847     20.00    -15.00    0
   43     0.454     119.880409       0.049650      26.003710      5.00      5.00   152.643    76.382   -54.508     25.00    -15.00    0
   44     0.386     119.878853       0.094840      26.003710      5.00      5.00   134.136    63.620   -48.936     30.00    -15.00    1
   45     0.352     119.877281       0.140030      26.003710      5.00      5.00   121.947    63.056   -42.248     35.00    -15.00    1
   46     0.272     119.875710       0.185230      26.003710      5.00      5.00   122.981    75.957   -25.762     40.00    -15.00    1
   47     0.195     119.874138       0.230420      26.003710      5.00      5.00   214.541    79.069   175.991     45.00    -15.00    0
   48     0.083     119.872566       0.275610      26.003710      5.00      5.00    21.977    57.271   145.211     50.00    -15.00    0
   49     0.297     119.930153      -1.848930      21.335800      5.00      5.00   206.404    38.173    35.846   -185.00    -10.00    0
   50     0.442     119.928581      -1.803740      21.335800      5.00      5.00   200.065    46.764    29.839   -180.00    -10.00    0
   51     0.545     119.927010      -1.758550      21.335800      5.00      5.00   199.152    53.844    29.261   -175.00    -10.00    0
   52     0.683     119.925438      -1.713360      21.335800      5.00      5.00   205.704    56.379    36.907   -170.00    -10.00    0
   53     0.763     119.923882      -1.668170      21.335800      5.00      5.00   204.940    63.999    35.398   -165.00    -10.00    0
   54     0.785     119.922310      -1.622980      21.335800      5.00      5.00   200.752    69.568    29.152   -160.00    -10.00    0
   55     0.751     119.920738      -1.577790      21.335800      5.00      5.00   195.956    77.455    20.184   -155.00    -10.00    0
   56     0.697     119.919167      -1.532600      21.335800      5.00      5.00   190.174    86.432     5.063   -150.00    -10.00    0
   57     0.695     119.917610      -1.487400      21.335800      5.00      5.00     9.417    81.808    15.670   -145.00    -10.00    0
   58     0.765     119.916039      -1.442210      21.335800      5.00      5.00     7.724    78.580    24.457   -140.00    -10.00    0
   59     0.870     119.914467      -1.397020      21.335800      5.00      5.00     5.021    79.582    29.929   -135.00    -10.00    0
   60     0.995     119.912903      -1.351830      21.335800      5.00      5.00     3.179    80.072    33.901   -130.00    -10.00    0
   61     1.095     119.911339      -1.306640      21.335800      5.00      5.00     2.024    78.974    35.550   -125.00    -10.00    0
   62     1.192     119.909767      -1.261450      21.335800      5.00      5.00     4.396    73.113    36.018   -120.00    -10.00    0
   63     1.253     119.908203      -1.216260      21.335800      5.00      5.00     0.978    74.126    30.886   -115.00    -10.00    0
   64     1.298     119.906631      -1.171070      21.335800      5.00      5.00   358.706    73.567    22.389   -110.00    -10.00    0
   65     1.363     119.905067      -1.125880      21.335800      5.00      5.00   358.310    69.958    16.027   -105.00    -10.00    0
   66     1.460     119.903503      -1.080690      21.335800      5.00      5.00   356.450    69.692     7.441   -100.00    -10.00    0
   67     1.547     119.901932      -1.035500      21.335800      5.00      5.00   354.542    73.763    -3.556    -95.00    -10.00    0
   68     1.627     119.900368      -0.990310      21.335800      5.00      5.00   354.132    80.355   -15.390    -90.00    -10.00    0
   69     1.733     119.898804      -0.945120      21.335800      5.00      5.00   355.892    82.966   -23.725    -85.00    -10.00    0
   70     1.809     119.897232      -0.899920      21.335800      5.00      5.00   356.309    83.563   -30.114    -80.00    -10.00    0
   71     1.811     119.895668      -0.854730      21.335800      5.00      5.00   352.618    80.006   -28.957    -75.00    -10.00    0
   72     1.781     119.894096      -0.809540      21.335800      5.00      5.00   347.661    75.169   -25.959    -70.00    -10.00    0
   73     1.725     119.892532      -0.764350      21.335800      5.00      5.00   344.638    70.686   -22.429    -65.00    -10.00    0
   74     1.606     119.890968      -0.719160      21.335800      5.00      5.00   343.642    67.750   -16.142    -60.00    -10.00    0
   75     1.528     119.889397      -0.673970      21.335800      5.00      5.00   345.054    70.437    -7.089    -55.00    -10.00    0
   76     1.526     119.887840      -0.628780      21.335800      5.00      5.00   345.855    73.625     1.730    -50.00    -10.00    0
   77     1.574     119.886269      -0.583590      21.335800      5.00      5.00   346.475    73.995     8.643    -45.00    -10.00    0
   78     1.671     119.884697      -0.538400      21.335800      5.00      5.00   347.218    71.200    10.224    -40.00    -10.00    0
   79     1.711     119.883141      -0.493210      21.335800      5.00      5.00   349.139    68.207     9.909    -35.00    -10.00    0
   80     1.707     119.881569      -0.448020      21.335800      5.00      5.00   352.582    66.684    10.133    -30.00    -10.00    0
   81     1.752     119.879997      -0.402820      21.335800      5.00      5.00   357.278    63.080     9.536    -25.00    -10.00    0
   82     1.875     119.878441      -0.357630      21.335800      5.00      5.00   359.776    57.385     5.000    -20.00    -10.00    0
   83     1.980     119.876869      -0.312440      21.335800      5.00      5.00     0.827    53.947     3.398    -15.00    -10.00    0
   84     2.058     119.875313      -0.267250      21.335800      5.00      5.00     0.657    52.340     1.158    -10.00    -10.00    0
   85     2.087     119.873741      -0.222060      21.335800      5.00      5.00     1.515    51.691     0.658     -5.00    -10.00    0
   86     2.017     119.872169      -0.176870      21.335800      5.00      5.00     2.179    50.939     0.095      0.00    -10.00    0
   87     1.866     119.870598      -0.131680      21.335800      5.00      5.00     1.640    50.328    -1.695      5.00    -10.00    0
   88     1.621     119.869041      -0.086490      21.335800      5.00      5.00   358.650    51.088    -5.746     10.00    -10.00    0
